ques,count,mean,std,min,25%,50%,75%,max
1,0.053,16.96858491,26.88452128,2.615,4.325,5.953,16.968,147.491
2,0.053,8.597396226,12.83432802,1.868,3.598,5.18,7.218,84.81
3,0.053,9.470169811,15.70955267,1.521,3.178,4.391,9.081,90.528
4,0.053,10.10435849,17.97878936,1.625,2.977,4.934,10.12,123.112
5,0.053,19.53749057,22.24006339,1.569,3.535,8.592,27.638,72.205
6,0.053,7.094811321,6.992573324,1.649,3.543,4.802,7.124,41.192
7,0.053,8.518037736,11.9613272,2.342,4.019,5.764,8.446,81.106
8,0.053,7.349584906,8.08725783,1.156,3.448,4.72,7.277,40.86
9,0.053,8.823660377,10.00710977,1.104,2.952,5.53,8.758,54.852
10,0.053,10.4039434,14.03905526,1.389,3.918,6.126,9.758,91.127
11,0.053,10.49907547,9.00673903,1.309,3.998,7.898,13.255,49.482
12,0.053,10.28469811,15.45652444,2.035,3.292,4.812,9.86,77.775
13,0.053,34.70716981,64.22474221,1.165,3.556,5.985,27.436,364.062
14,0.053,7.502264151,8.592489892,1.297,3.264,5.38,6.951,55.7
15,0.051,14.61219608,20.9855536,0.875,3.972,10.229,17.5635,142.252
16,0.051,28.93578431,39.01814175,1.211,4.0505,12.6,39.4445,176.337
17,0.051,8.819901961,10.97305023,1.155,3.6045,5.72,10.2245,68.489
18,0.051,21.73694118,29.83940032,1.716,3.7975,12.732,27.9025,174.063
19,0.051,11.34543137,11.78790967,1.338,3.795,9.143,14.5825,73.181
20,0.049,16.63085714,17.007359,1.027,3.761,10.386,24.215,75.416
21,0.048,19.21060417,17.79481215,2.281,4.96625,14.5855,31.7595,77.393
22,0.048,22.4874375,26.80427099,1.346,4.19375,13.601,29.14275,119.26
23,0.047,11.89889362,13.67244582,1.603,5.07,8.775,14.601,91.102
24,0.047,17.84334043,32.35282806,1.781,3.2125,7.608,20.225,214.845
25,0.046,9.223391304,6.996721891,1.228,3.43425,5.8865,13.95125,30.153
26,0.046,10.95173913,16.48647102,1.561,4.59725,6.6755,10.81625,105.066
27,0.046,13.37054348,10.70874777,1.532,4.92525,9.8085,19.1045,39.951
28,0.046,16.82556522,19.71414355,2.452,3.96775,12.834,20.2505,108.685
29,0.046,14.75156522,16.35521445,1.66,5.0855,8.388,17.22825,79.295
30,0.046,14.33443478,14.44770629,1.522,4.39225,11.505,19.03525,84.587
31,0.046,17.07556522,24.13477991,2.046,3.812,7.5885,14.322,104.576
32,0.045,8.976266667,5.768965629,1.431,4.963,7.378,12.301,25.784
33,0.045,19.06002222,24.35995206,1.488,3.758,7.697,24.168,115.233
34,0.045,14.94006667,13.62603813,0.979,6.791,11.688,17.928,74.687
35,0.045,41.87735556,187.9274946,1.265,4.776,11.468,18.255,1271.595
36,0.045,11.88377778,13.44490449,1.685,5.56,8.232,13.38,88.036
37,0.045,6.936111111,6.698094621,1.758,3.692,4.808,7.371,41.334
38,0.045,9.797977778,11.88104287,2.071,5.373,7.308,9.46,64.206
39,0.045,10.04382222,6.802293905,1.791,4.474,8.475,12.97,30.488
40,0.045,10.47188889,8.381200075,1.67,5.315,8.85,11.508,41.263
total time,0.045,594.0297556,427.3427907,81.856,321.865,467.447,815.278,2188.007
